"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YBR128C",44.5861036206517,-0.802952505994639,0.277114950577227,-2.89704372908944,0.00376697244300962,0.0122366201049601,"Thin_vs_Early","S000000332","ATG14","852425","ATG14"
"YPL132W",75.9137149121791,0.665925342403243,0.22990038264404,2.89660789020986,0.00377220909024479,0.012246490001022,"Thin_vs_Early","S000006053","COX11","855971","COX11"
"YLL001W",162.286480319458,0.533873689138833,0.184543450118138,2.89322148405939,0.00381312304334547,0.0123721074399986,"Thin_vs_Early","S000003924","DNM1","850686","DNM1"
"YJR063W",28.0479846404252,0.901078370055135,0.310894163405259,2.8927348713165,0.00381903523126581,0.0123840775747275,"Thin_vs_Early","S000003824","RPA12","853526","RPA12"
"YKL053C-A",118.572105303139,0.695586380069817,0.240730144477093,2.89035394781766,0.00384808293880598,0.0124565194956933,"Thin_vs_Early","S000007243","MDM35","853812","MDM35"
"YLR034C",145.778523237194,0.848304014248103,0.293305194629205,2.89057100576779,0.00384542650017257,0.0124565194956933,"Thin_vs_Early","S000004024","SMF3","850721","SMF3"
"YPR101W",40.8117713136901,1.08595582204915,0.374411928491681,2.89040347804696,0.00384747662204875,0.0124565194956933,"Thin_vs_Early","S000006305","SNT309","856216","SNT309"
"YGR281W",693.913526584742,-0.552883469565405,0.191315214195445,-2.88965933734304,0.00385659505700226,0.0124768240781414,"Thin_vs_Early","S000003513","YOR1","853198","YOR1"
"YAR019C",38.425064820942,-0.76533696165452,0.264502791354471,-2.88946298839532,0.00385900431839379,0.0124773726394497,"Thin_vs_Early","S000000072","CDC15","851274","CDC15"
"YLR066W",52.3980037274349,0.762306230125319,0.263810477081283,2.88839649296636,0.00387211444197326,0.0125124997425946,"Thin_vs_Early","S000004056","SPC3","850755","SPC3"
"YOR011W",47.6134361412477,-0.856087439166885,0.295704522930781,-2.88728501155394,0.00388582060969584,0.012549511082096,"Thin_vs_Early","S000005537","AUS1","854175","AUS1"
"YGR253C",219.36329674309,0.795488928854105,0.275808063910531,2.88677654553348,0.00389210540805344,0.0125625256247194,"Thin_vs_Early","S000003485","PUP2","853168","PUP2"
"YJL102W",267.47743882774,0.4980199464505,0.172621032267339,2.88638391103059,0.00389696480890296,0.0125709270123905,"Thin_vs_Early","S000003638","MEF2","853342","MEF2"
"YKL105C",116.866763676747,-0.815458596318817,0.282646211134633,-2.88499315355981,0.00391422174069651,0.012619287799433,"Thin_vs_Early","S000001588","SEG2","853756","SEG2"
"YDL013W",65.4743300300648,-0.650121342968295,0.225248852406274,-2.88390538560684,0.00392776742967312,0.0126556346736315,"Thin_vs_Early","S000002171","SLX5","851549","SLX5"
"YBR109C",158.384323067453,0.54856492778132,0.19024724357022,2.88324652066486,0.00393599279087263,0.0126748068427465,"Thin_vs_Early","S000000313","CMD1","852406","CMD1"
"YPL005W",79.6312168693499,-0.654033917868065,0.227008992079258,-2.88152725009613,0.00395753012415131,0.0127367997236551,"Thin_vs_Early","S000005926","AEP3","856102","AEP3"
"YBR095C",76.6856413006433,0.737388792431225,0.2559343259696,2.88105749045347,0.00396343339759668,0.01274107758685,"Thin_vs_Early","S000000299","RXT2","852392","RXT2"
"YJL091C",67.5932729953231,0.675786704974545,0.23458350557158,2.88114675710934,0.0039623110057904,0.01274107758685,"Thin_vs_Early","S000003627","GWT1","853354","GWT1"
"YHR074W",113.386729657409,-0.61235975622756,0.212491476911791,-2.88015051073221,0.00397485366118446,0.0127704208457085,"Thin_vs_Early","S000001116","QNS1","856473","QNS1"
"YDL205C",207.846799824696,0.6492118967982,0.225487743441762,2.87972121613053,0.00398026954896326,0.0127804505229247,"Thin_vs_Early","S000002364","HEM3","851322","HEM3"
"YLR089C",112.505360915172,0.642309839534613,0.223383158500913,2.87501256825178,0.00404011415642369,0.0129470307460688,"Thin_vs_Early","S000004079","ALT1","850778","ALT1"
"YPL163C",35.8138663583891,0.893774692317883,0.311546524506339,2.87499131091298,0.00404038616892911,0.0129470307460688,"Thin_vs_Early","S000006084","SVS1","855940","SVS1"
"YPL183W-A",68.7156636285168,0.660263872518111,0.229627275588119,2.87536865716804,0.00403556005326137,0.0129470307460688,"Thin_vs_Early","S000007224","RTC6","855918","RTC6"
