"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","SGD","GENENAME","ENTREZID","label"
"YBL033C",195.600838715925,-0.283412127227271,0.21888576631065,-1.29575791963785,0.195058899816092,0.300767542450996,"NS","S000000129","RIB1","852247","RIB1"
"YBL034C",90.567321315397,0.239107472353347,0.235348778966619,1.01701398640556,0.309146775913057,0.42927634312354,"NS","S000000130","STU1","852246","STU1"
"YBL035C",29.8016307868565,-0.140194496915467,0.30659374010542,-0.458391235087426,0.646671387595366,0.743048167906173,"NS","S000000131","POL12","852245","POL12"
"YBL036C",105.577763884802,0.605534390885542,0.231193412033438,2.61868083162594,0.00882704930375612,0.0242961915371667,"NS","S000000132",NA,"852244","YBL036C"
"YBL037W",34.7450825671134,0.239837125988061,0.313690738840705,0.768782930366549,0.442022183838923,0.562601230561261,"NS","S000000133","APL3","852243","APL3"
"YBL038W",151.279664601985,-0.564461104952802,0.238603492519957,-2.36563337821559,0.0179992586006345,0.0432809072942328,"NS","S000000134","MRPL16","852242","MRPL16"
"YBL039C",45.5617864531192,1.177045650721,0.357782553610969,3.28358348304018,0.00102496282513144,0.00392817218732001,"Up","S000000135","URA7","852241","URA7"
"YBL039W-B",37.5076983509203,-1.69478913039514,0.317371415271043,-5.32058489575087,1.03434167155383e-07,1.07478921932764e-06,"Down","S000028517","MIN6","1466441","MIN6"
"YBL040C",89.0745584011561,0.252849979089579,0.210560915478123,1.19590880607369,0.231732148315259,0.344353107032358,"NS","S000000136","ERD2","852240","ERD2"
"YBL041W",445.747837755401,-0.866950447594979,0.169716987958088,-5.10782952785664,3.25880449973914e-07,3.1140308521521e-06,"NS","S000000137","PRE7","852239","PRE7"
"YBL042C",74.4155285698469,0.742207296036742,0.26411972563278,2.81227551368747,0.00491923475460195,0.0148295762001556,"NS","S000000138","FUI1","852238","FUI1"
"YBL043W",117.014205263754,0.320813758318193,0.260890497611637,1.22582311077431,0.220265248276177,0.330754096535467,"NS","S000000139","ECM13","852237","ECM13"
"YBL045C",954.958039467357,-0.361306545754779,0.12697047888603,-2.84570436136626,0.00443133148673401,0.0136467372651162,"NS","S000000141","COR1","852235","COR1"
"YBL046W",39.5111354189979,-0.302888347034954,0.291421991524443,-1.03597755899545,0.3002126119731,0.420327836466987,"NS","S000000142","PSY4","852234","PSY4"
"YBL047C",379.262996042968,-0.799708674484669,0.172126071293777,-4.64600965433829,3.3841717212652e-06,2.63313137697883e-05,"NS","S000000143","EDE1","852233","EDE1"
